d29e4de52f324c61b32f51656f03bc17,Smooth like butter Like a criminal undercover Gon' pop like trouble Breakin' into your heart like that,버터처럼 부드럽게 비밀스러원 악당처럼 갑작스러원 문제처럼 터져 네 마음속으로 몰래 침입할 거야
fbd514350ff5416f9758754a2e8d0298,Cool shade stunner Yeah I owe it all to my mother Hot like summer Yeah I'm makin' you sweat like that,선긑라스를 낀 내 멋진 모습 다 우리 엄마 덕분 이지 여름처럼 핫해 그렇게 날 똠 흘리게 해
79be7398c21f47ba802d8c443cfa331d,Break it down,잘 들어봐
609df327041543b8bfffb6a1d4d1684e,Oh when I look in the mirror I'll melt your heart into 2 I got that superstar glow so Do the boogie like,내가 거울을 들여다 볼 대 너의 심장을 두 개로 녹일 거야 나는 슈퍼스타처럼 빛나니까 이렇게 음직여봐
d01738a12a2e4c42b59368999131f1b4,"Side step right left to my beat (heartbeat) High like the moon rock with me baby Know that I got that heat Let me show you 'cause talk is cheap Side step right left to my beat (heartbeat) Get it, let it roll","내 심장에 가까이 오름쭉 윈쭉 한걸음씩 (심장에) 달만큼 높이 올라 나와 함게 즐겨봐 내가 뜬운 매력을 갖구있는 거 알잖아 말로는 뻔하너까 보여출게 내 심장에 가까이 오름쭉 윈쭉 한걸음씩 (심장에) 알겠다면, 시작해 보자"
1a9f2f6c981c4dd789bb59bf7358023f,Smooth like butter Pull you in like no other Don't need no Usher To remind me you got it bad,버터처럼 부드럽게 날 그 누구보다 강하게 끌어당겨 굳이 알려줄 필요 없어 네가 깊게 빠져들 었다는 걸
025c8d214ab34eb4a963d2025a6c35a8,"Ain't no other That can sweep you up like a robber Straight up, I got ya Makin' you fall like that","그 어떤 누구와도 달라 너의 마음을 흠친는 강도처럼 그래, 난 내꺼야 그렇게 날 풀 빠지게 해"
7f381f3092c8417280fdef95681d4698,Break it down,잘 들어봐
4ba7096be3f247659cbccc96f5f85628,Oh when I look in the mirror I'll melt your heart into 2 I got that superstar glow so Do the boogie like,Oh 내가 거울두 개로 녹일 거야 너의 심장을 두 개로 녹일 거야 나는 슈퍼스타처럼 빛나니까 이렇게 음직여봐
1fdf2c1a293e4eec8453bd1f7270c109,"Side step right left to my beat (heartbeat) High like the moon rock with me baby Know that I got that heat Let me show you 'cause talk is cheap Side step right left to my beat (heartbeat) Get it, let it roll","내 심장에 가까이 오름쭉 윈쭉 한걸음씩 (심장에) 달만큼 높이 올라 나와 함게 즐겨봐 내가 뜬운 매력을 갖구있는 거 알잖아 말로는 뻔하너까 보여출게 내 심장에 가까이 오름쭉 윈쭉 한걸음씩 (심장에) 알겠다면, 시작해 보자"
aee14975c76c499fa08e9f9a0b0f5316,"Get it, let it roll Get it, let it roll No ice on my wrist I'm that n-ice guy Got that right body and that right mind Rollin' up to party got the right vibe Smooth like butter Hate us love us","알겠다면, 시작해 보자 알겠다면, 시작해 보자 내 손목언 호화로운 가 없지만 난 그대로도 멋진 사람이야 건강한 몸과 건강한 마음을 가졌어 우린 적잘한 분위기에 바티에 등장해 버터처럼 부드럽게 우리가 싫든 좋든"
408fff3ff4224b20b66b5f342fd51e5c,Fresh boy pull up and we lay low All the playas get movin' when the bass low Got ARMY right behind us when we say so Let's go,멋전 친구들이 등장하면 우린 잠자코 있어 베이스 수리가 깔리면 노는 사람들은 음직이기 시작하지 우리 뒤엔 ARMY가 있어 우리가 말하잖아 가자
eb2ac86f8e284bdebce1309fee84095c,"Side step right left to my beat (heartbeat) High like the moon rock with me baby Know that I got that heat Let me show you 'cause talk is cheap Side step right left to my beat (heartbeat) Get it, let it roll","내 심장에 가까이 오름쭉 윈쭉 한걸음씩 (심장에) 달만큼 높이 올라 나와 함게 즐겨봐 내가 뜬운 매력을 갖구있는 거 알잖아 말로는 뻔하너까 보여출게 내 심장에 가까이 오름쭉 윈쭉 한걸음씩 (심장에) 알겠다면, 시작해 보자"
cee3107edf304e19868192621accddb6,Smooth like (butter) Cool shade (stunner) And you know we don't stop,부드 럽게 (버터) 멋진 잔 글라스(멋지지) 우린 절대 멈추지 않는 거 알잖아
c1fd8bba85f24da0acc323c90565ee06,Hot like (summer) Ain't no (bummer) You be like oh my god We gon' make you rock and you say (yeah) We gon' make you bounce and you say (yeah),핫해 (여름 처럼) 하지 않믈 거야 (실망은) 난 이라고 위치개 뒬 거야 우리가 날 춤추게 하지 넌 의쳐 (yeah) 우리가 날 뛰게 하지 넌 의쳐 (yeah)
372149c43a464543b4a2295a4b5b6aa4,Hotter? Sweeter! Cooler? Butter!,더 뜨겁개? 더 달 콤 하게! 더 시원하게? 버터!
d2846394f581492992065399231178cc,"Get it, let it roll","알겠다면, 시작해 보자"
df88fcb4c30c477db234e85a704e8e93,Happy birthday to you Happy birthday to you Happy birthday to my friend1 Happy birthday to you,생일 축하합니다. 생일 축하합니다. 사랑하는 ___의 (빈 곳은 사람의 이름) 생일 축하합니다.
ec6600d275de41d29875d76199557fcd,Happy birthday to you Happy birthday to you Happy birthday to my friend Happy birthday to you,-----------------------------------------------
